"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","Lithuania","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Lithuania","Thousand tonnes","Refinery feedstocks","Gross inland consumption","30",""
"2005","Lithuania","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","2,710.4",""
"2005","Lithuania","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","9,415.3",""
"2005","Lithuania","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","9,340.8",""
"2005","Lithuania","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Lithuania","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","29.5",""
"2005","Lithuania","Terajoule","Total petroleum products","Gross inland consumption","113,478",""
"2005","Lithuania","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","394,199",""
"2005","Lithuania","Terajoule","Crude oil (without NGL)","Gross inland consumption","391,079",""
"2005","Lithuania","Terajoule","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Lithuania","Terajoule","Refinery feedstocks","Gross inland consumption","1,236",""
"2005","Luxembourg","Thousand tonnes","Total petroleum products","Gross inland consumption","3,103",""
"2005","Luxembourg","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption",":",""
"2005","Luxembourg","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption",":",""
"2005","Luxembourg","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Luxembourg","Thousand tonnes","Refinery feedstocks","Gross inland consumption",":",""
"2005","Luxembourg","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","3,159.8",""
"2005","Luxembourg","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption",":",""
"2005","Luxembourg","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption",":",""
"2005","Luxembourg","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Luxembourg","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption",":",""
"2005","Luxembourg","Terajoule","Total petroleum products","Gross inland consumption","132,294",""
"2005","Luxembourg","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption",":",""
"2005","Luxembourg","Terajoule","Crude oil (without NGL)","Gross inland consumption",":",""
