COU,Country,ISIC,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
GRC,Greece,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,3109.983,,
GRC,Greece,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,3709.151,,
GRC,Greece,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,3173.725,,
GRC,Greece,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,3056.477,,
GRC,Greece,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2008,2008,TONNE,Tonnes,3,thousands,,,82.617,,
GRC,Greece,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2010,2010,TONNE,Tonnes,3,thousands,,,56.923,,
GRC,Greece,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2012,2012,TONNE,Tonnes,3,thousands,,,32.762,,
GRC,Greece,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,43.187,,
GRC,Greece,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,34.177,,
GRC,Greece,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,20.744,,
GRC,Greece,35,Energy Production ,2008,2008,TONNE,Tonnes,3,thousands,,,11180.698,,
GRC,Greece,35,Energy Production ,2010,2010,TONNE,Tonnes,3,thousands,,,11028.582,,
GRC,Greece,35,Energy Production ,2012,2012,TONNE,Tonnes,3,thousands,,,12258.683,,
GRC,Greece,36-39,Water supply sewerage waste management ,2008,2008,TONNE,Tonnes,3,thousands,,,1030.308,,
GRC,Greece,36-39,Water supply sewerage waste management ,2010,2010,TONNE,Tonnes,3,thousands,,,841.101,,
GRC,Greece,36-39,Water supply sewerage waste management ,2012,2012,TONNE,Tonnes,3,thousands,,,642.061,,
GRC,Greece,41-43,Construction,2008,2008,TONNE,Tonnes,3,thousands,,,6828.051,,
GRC,Greece,41-43,Construction,2010,2010,TONNE,Tonnes,3,thousands,,,2086.08,,
GRC,Greece,41-43,Construction,2012,2012,TONNE,Tonnes,3,thousands,,,812.519,,
GRC,Greece,45-98,Other,2008,2008,TONNE,Tonnes,3,thousands,,,5750.596,,
GRC,Greece,45-98,Other,2010,2010,TONNE,Tonnes,3,thousands,,,6610.812,,
GRC,Greece,45-98,Other,2012,2012,TONNE,Tonnes,3,thousands,,,6371.031,,
GRC,Greece,INT_CAPITA,Primary waste per capita,2008,2008,KG_HAB,Kilograms per capita,0,units,,,6134.688,,
GRC,Greece,INT_CAPITA,Primary waste per capita,2010,2010,KG_HAB,Kilograms per capita,0,units,,,6301.265,,
GRC,Greece,INT_CAPITA,Primary waste per capita,2012,2012,KG_HAB,Kilograms per capita,0,units,,,6499.092,,
GRC,Greece,INT_GDP,Primary waste per unit of GDP,2008,2008,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,226.149,,
GRC,Greece,INT_GDP,Primary waste per unit of GDP,2010,2010,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,256.041,,
GRC,Greece,INT_GDP,Primary waste per unit of GDP,2012,2012,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,311.736,,
GRC,Greece,INT_CONS,Waste from construction sector per capita,2008,2008,KG_HAB,Kilograms per capita,0,units,,,610.41,,
GRC,Greece,INT_CONS,Waste from construction sector per capita,2010,2010,KG_HAB,Kilograms per capita,0,units,,,187.042,,
GRC,Greece,INT_CONS,Waste from construction sector per capita,2012,2012,KG_HAB,Kilograms per capita,0,units,,,73.266,,
HUN,Hungary,TOTAL_S,Total amounts of waste generated by sector,2008,2008,TONNE,Tonnes,3,thousands,,,16949.197,,
HUN,Hungary,TOTAL_S,Total amounts of waste generated by sector,2010,2010,TONNE,Tonnes,3,thousands,,,16735.423,,
HUN,Hungary,TOTAL_S,Total amounts of waste generated by sector,2012,2012,TONNE,Tonnes,3,thousands,,,16310.151,,
HUN,Hungary,RES,Sorting residues, secondary waste,2008,2008,TONNE,Tonnes,3,thousands,,,166.458,,
HUN,Hungary,RES,Sorting residues, secondary waste,2010,2010,TONNE,Tonnes,3,thousands,,,147.708,,
HUN,Hungary,RES,Sorting residues, secondary waste,2012,2012,TONNE,Tonnes,3,thousands,,,227.835,,
HUN,Hungary,TOTAL,Total amounts of primary waste generated,2008,2008,TONNE,Tonnes,3,thousands,,,16782.739,,
HUN,Hungary,TOTAL,Total amounts of primary waste generated,2010,2010,TONNE,Tonnes,3,thousands,,,16587.715,,
HUN,Hungary,TOTAL,Total amounts of primary waste generated,2012,2012,TONNE,Tonnes,3,thousands,,,16082.316,,
HUN,Hungary,01-03,Agriculture forestry and fishing ,2008,2008,TONNE,Tonnes,3,thousands,,,336.865,,
HUN,Hungary,01-03,Agriculture forestry and fishing ,2010,2010,TONNE,Tonnes,3,thousands,,,487.655,,
HUN,Hungary,01-03,Agriculture forestry and fishing ,2012,2012,TONNE,Tonnes,3,thousands,,,459.995,,
HUN,Hungary,05-09,Mining and Quarrying,2008,2008,TONNE,Tonnes,3,thousands,,,272.49,,
HUN,Hungary,05-09,Mining and Quarrying,2010,2010,TONNE,Tonnes,3,thousands,,,86.587,,
HUN,Hungary,05-09,Mining and Quarrying,2012,2012,TONNE,Tonnes,3,thousands,,,91.218,,
HUN,Hungary,10-33,Manufacturing industries: Total,2008,2008,TONNE,Tonnes,3,thousands,,,3729.789,,
HUN,Hungary,10-33,Manufacturing industries: Total,2010,2010,TONNE,Tonnes,3,thousands,,,3130.982,,
HUN,Hungary,10-33,Manufacturing industries: Total,2012,2012,TONNE,Tonnes,3,thousands,,,2989.003,,
HUN,Hungary,10-12,Manufacture of food products beverages and tobacco products,2008,2008,TONNE,Tonnes,3,thousands,,,1012.18,,
HUN,Hungary,10-12,Manufacture of food products beverages and tobacco products,2010,2010,TONNE,Tonnes,3,thousands,,,510.542,,
HUN,Hungary,10-12,Manufacture of food products beverages and tobacco products,2012,2012,TONNE,Tonnes,3,thousands,,,532.426,,
HUN,Hungary,13-15,Manufacture of textiles, wearing apparel, leather and related products,2008,2008,TONNE,Tonnes,3,thousands,,,54.24,,
HUN,Hungary,13-15,Manufacture of textiles, wearing apparel, leather and related products,2010,2010,TONNE,Tonnes,3,thousands,,,61.544,,
HUN,Hungary,13-15,Manufacture of textiles, wearing apparel, leather and related products,2012,2012,TONNE,Tonnes,3,thousands,,,49.632,,
HUN,Hungary,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2008,2008,TONNE,Tonnes,3,thousands,,,260.5,,
HUN,Hungary,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2010,2010,TONNE,Tonnes,3,thousands,,,228.675,,
HUN,Hungary,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2012,2012,TONNE,Tonnes,3,thousands,,,183.436,,
HUN,Hungary,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2008,2008,TONNE,Tonnes,3,thousands,,,136.683,,
HUN,Hungary,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2010,2010,TONNE,Tonnes,3,thousands,,,206.761,,
HUN,Hungary,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2012,2012,TONNE,Tonnes,3,thousands,,,115.717,,
HUN,Hungary,19,Manufacture of coke and refined petroleum products,2008,2008,TONNE,Tonnes,3,thousands,,,47.981,,
HUN,Hungary,19,Manufacture of coke and refined petroleum products,2010,2010,TONNE,Tonnes,3,thousands,,,31.978,,
HUN,Hungary,19,Manufacture of coke and refined petroleum products,2012,2012,TONNE,Tonnes,3,thousands,,,25.059,,
HUN,Hungary,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2008,2008,TONNE,Tonnes,3,thousands,,,189.729,,
HUN,Hungary,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2010,2010,TONNE,Tonnes,3,thousands,,,174.347,,
HUN,Hungary,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2012,2012,TONNE,Tonnes,3,thousands,,,194.928,,
HUN,Hungary,23,Manufacture of other non-metallic mineral products,2008,2008,TONNE,Tonnes,3,thousands,,,738.162,,
HUN,Hungary,23,Manufacture of other non-metallic mineral products,2010,2010,TONNE,Tonnes,3,thousands,,,291.547,,
HUN,Hungary,23,Manufacture of other non-metallic mineral products,2012,2012,TONNE,Tonnes,3,thousands,,,310.283,,
HUN,Hungary,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,1290.314,,
HUN,Hungary,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,1625.588,,
HUN,Hungary,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,1577.522,,
HUN,Hungary,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,759.724,,
HUN,Hungary,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,1089.319,,
HUN,Hungary,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,952.493,,
HUN,Hungary,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2008,2008,TONNE,Tonnes,3,thousands,,,495.084,,
HUN,Hungary,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2010,2010,TONNE,Tonnes,3,thousands,,,468.288,,
HUN,Hungary,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2012,2012,TONNE,Tonnes,3,thousands,,,578.481,,
HUN,Hungary,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,35.506,,
HUN,Hungary,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,67.981,,
HUN,Hungary,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,46.548,,
HUN,Hungary,35,Energy Production ,2008,2008,TONNE,Tonnes,3,thousands,,,3050.215,,
HUN,Hungary,35,Energy Production ,2010,2010,TONNE,Tonnes,3,thousands,,,2718.233,,
HUN,Hungary,35,Energy Production ,2012,2012,TONNE,Tonnes,3,thousands,,,2871.522,,
HUN,Hungary,36-39,Water supply sewerage waste management ,2008,2008,TONNE,Tonnes,3,thousands,,,1170.742,,
HUN,Hungary,36-39,Water supply sewerage waste management ,2010,2010,TONNE,Tonnes,3,thousands,,,1221.053,,
HUN,Hungary,36-39,Water supply sewerage waste management ,2012,2012,TONNE,Tonnes,3,thousands,,,1203.058,,
HUN,Hungary,41-43,Construction,2008,2008,TONNE,Tonnes,3,thousands,,,3237.554,,
HUN,Hungary,41-43,Construction,2010,2010,TONNE,Tonnes,3,thousands,,,4070.346,,
HUN,Hungary,41-43,Construction,2012,2012,TONNE,Tonnes,3,thousands,,,4021.881,,
HUN,Hungary,45-98,Other,2008,2008,TONNE,Tonnes,3,thousands,,,4985.087,,
HUN,Hungary,45-98,Other,2010,2010,TONNE,Tonnes,3,thousands,,,4872.859,,
HUN,Hungary,45-98,Other,2012,2012,TONNE,Tonnes,3,thousands,,,4445.639,,
HUN,Hungary,INT_CAPITA,Primary waste per capita,2008,2008,KG_HAB,Kilograms per capita,0,units,,,1671.891,,
HUN,Hungary,INT_CAPITA,Primary waste per capita,2010,2010,KG_HAB,Kilograms per capita,0,units,,,1658.768,,
HUN,Hungary,INT_CAPITA,Primary waste per capita,2012,2012,KG_HAB,Kilograms per capita,0,units,,,1621.142,,
HUN,Hungary,INT_GDP,Primary waste per unit of GDP,2008,2008,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,91.409,,
HUN,Hungary,INT_GDP,Primary waste per unit of GDP,2010,2010,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,95.975,,
HUN,Hungary,INT_GDP,Primary waste per unit of GDP,2012,2012,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,93.015,,
HUN,Hungary,INT_CONS,Waste from construction sector per capita,2008,2008,KG_HAB,Kilograms per capita,0,units,,,322.524,,
HUN,Hungary,INT_CONS,Waste from construction sector per capita,2010,2010,KG_HAB,Kilograms per capita,0,units,,,407.034,,
HUN,Hungary,INT_CONS,Waste from construction sector per capita,2012,2012,KG_HAB,Kilograms per capita,0,units,,,405.417,,
ISL,Iceland,TOTAL_S,Total amounts of waste generated by sector,2010,2010,TONNE,Tonnes,3,thousands,,,510.941,,
ISL,Iceland,TOTAL_S,Total amounts of waste generated by sector,2012,2012,TONNE,Tonnes,3,thousands,,,529.351,,
ISL,Iceland,RES,Sorting residues, secondary waste,2010,2010,TONNE,Tonnes,3,thousands,,,3.891,,
ISL,Iceland,TOTAL,Total amounts of primary waste generated,2010,2010,TONNE,Tonnes,3,thousands,,,507.05,,
ISL,Iceland,TOTAL,Total amounts of primary waste generated,2012,2012,TONNE,Tonnes,3,thousands,,,529.351,,
ISL,Iceland,01-03,Agriculture forestry and fishing ,2010,2010,TONNE,Tonnes,3,thousands,,,72.071,,
ISL,Iceland,01-03,Agriculture forestry and fishing ,2012,2012,TONNE,Tonnes,3,thousands,,,82.097,,
ISL,Iceland,05-09,Mining and Quarrying,2010,2010,TONNE,Tonnes,3,thousands,,,0.065,,
ISL,Iceland,05-09,Mining and Quarrying,2012,2012,TONNE,Tonnes,3,thousands,,,0.055,,
ISL,Iceland,10-33,Manufacturing industries: Total,2010,2010,TONNE,Tonnes,3,thousands,,,88.199,,
ISL,Iceland,10-33,Manufacturing industries: Total,2012,2012,TONNE,Tonnes,3,thousands,,,93.097,,
ISL,Iceland,10-12,Manufacture of food products beverages and tobacco products,2010,2010,TONNE,Tonnes,3,thousands,,,43.309,,
ISL,Iceland,10-12,Manufacture of food products beverages and tobacco products,2012,2012,TONNE,Tonnes,3,thousands,,,50.072,,
ISL,Iceland,13-15,Manufacture of textiles, wearing apparel, leather and related products,2010,2010,TONNE,Tonnes,3,thousands,,,6.353,,
ISL,Iceland,13-15,Manufacture of textiles, wearing apparel, leather and related products,2012,2012,TONNE,Tonnes,3,thousands,,,6.544,,
ISL,Iceland,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2010,2010,TONNE,Tonnes,3,thousands,,,0.347,,
ISL,Iceland,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2012,2012,TONNE,Tonnes,3,thousands,,,0.311,,
ISL,Iceland,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2010,2010,TONNE,Tonnes,3,thousands,,,1.587,,
ISL,Iceland,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2012,2012,TONNE,Tonnes,3,thousands,,,1.748,,
ISL,Iceland,19,Manufacture of coke and refined petroleum products,2010,2010,TONNE,Tonnes,3,thousands,,,0.059,,
ISL,Iceland,19,Manufacture of coke and refined petroleum products,2012,2012,TONNE,Tonnes,3,thousands,,,0.062,,
ISL,Iceland,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2010,2010,TONNE,Tonnes,3,thousands,,,5.777,,
ISL,Iceland,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2012,2012,TONNE,Tonnes,3,thousands,,,6.037,,
ISL,Iceland,23,Manufacture of other non-metallic mineral products,2010,2010,TONNE,Tonnes,3,thousands,,,5.094,,
ISL,Iceland,23,Manufacture of other non-metallic mineral products,2012,2012,TONNE,Tonnes,3,thousands,,,4.881,,
ISL,Iceland,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,25.673,,
ISL,Iceland,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,23.442,,
ISL,Iceland,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,18.122,,
ISL,Iceland,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,15.867,,
ISL,Iceland,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2010,2010,TONNE,Tonnes,3,thousands,,,2.853,,
ISL,Iceland,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2012,2012,TONNE,Tonnes,3,thousands,,,2.932,,
ISL,Iceland,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,4.698,,
ISL,Iceland,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,4.643,,
ISL,Iceland,35,Energy Production ,2010,2010,TONNE,Tonnes,3,thousands,,,1.625,,
ISL,Iceland,35,Energy Production ,2012,2012,TONNE,Tonnes,3,thousands,,,1.675,,
ISL,Iceland,36-39,Water supply sewerage waste management ,2010,2010,TONNE,Tonnes,3,thousands,,,8.229,,
ISL,Iceland,36-39,Water supply sewerage waste management ,2012,2012,TONNE,Tonnes,3,thousands,,,7.902,,
ISL,Iceland,41-43,Construction,2010,2010,TONNE,Tonnes,3,thousands,,,12.289,,
ISL,Iceland,41-43,Construction,2012,2012,TONNE,Tonnes,3,thousands,,,10.82,,
ISL,Iceland,45-98,Other,2010,2010,TONNE,Tonnes,3,thousands,,,324.572,,
ISL,Iceland,45-98,Other,2012,2012,TONNE,Tonnes,3,thousands,,,333.705,,
ISL,Iceland,INT_CAPITA,Primary waste per capita,2010,2010,KG_HAB,Kilograms per capita,0,units,,,1594.547,,
ISL,Iceland,INT_CAPITA,Primary waste per capita,2012,2012,KG_HAB,Kilograms per capita,0,units,,,1656.448,,
ISL,Iceland,INT_GDP,Primary waste per unit of GDP,2010,2010,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,44.757,,
ISL,Iceland,INT_GDP,Primary waste per unit of GDP,2012,2012,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,45.279,,
ISL,Iceland,INT_CONS,Waste from construction sector per capita,2010,2010,KG_HAB,Kilograms per capita,0,units,,,38.646,,
ISL,Iceland,INT_CONS,Waste from construction sector per capita,2012,2012,KG_HAB,Kilograms per capita,0,units,,,33.858,,
IRL,Ireland,TOTAL_S,Total amounts of waste generated by sector,2008,2008,TONNE,Tonnes,3,thousands,,,22502.816,,
IRL,Ireland,TOTAL_S,Total amounts of waste generated by sector,2010,2010,TONNE,Tonnes,3,thousands,,,19807.586,,
IRL,Ireland,TOTAL_S,Total amounts of waste generated by sector,2012,2012,TONNE,Tonnes,3,thousands,,,13421.334,,
IRL,Ireland,RES,Sorting residues, secondary waste,2008,2008,TONNE,Tonnes,3,thousands,,,7.873,,
IRL,Ireland,RES,Sorting residues, secondary waste,2010,2010,TONNE,Tonnes,3,thousands,,,501.15,,
IRL,Ireland,RES,Sorting residues, secondary waste,2012,2012,TONNE,Tonnes,3,thousands,,,490.654,,
IRL,Ireland,TOTAL,Total amounts of primary waste generated,2008,2008,TONNE,Tonnes,3,thousands,,,22494.943,,
IRL,Ireland,TOTAL,Total amounts of primary waste generated,2010,2010,TONNE,Tonnes,3,thousands,,,19306.436,,
IRL,Ireland,TOTAL,Total amounts of primary waste generated,2012,2012,TONNE,Tonnes,3,thousands,,,12930.68,,
IRL,Ireland,01-03,Agriculture forestry and fishing ,2008,2008,TONNE,Tonnes,3,thousands,,,19.376,,
IRL,Ireland,01-03,Agriculture forestry and fishing ,2010,2010,TONNE,Tonnes,3,thousands,,,101.143,,
IRL,Ireland,01-03,Agriculture forestry and fishing ,2012,2012,TONNE,Tonnes,3,thousands,,,96.251,,
IRL,Ireland,05-09,Mining and Quarrying,2008,2008,TONNE,Tonnes,3,thousands,,,2061.231,,
IRL,Ireland,05-09,Mining and Quarrying,2010,2010,TONNE,Tonnes,3,thousands,,,2195.671,,
IRL,Ireland,05-09,Mining and Quarrying,2012,2012,TONNE,Tonnes,3,thousands,,,2024.984,,
IRL,Ireland,10-33,Manufacturing industries: Total,2008,2008,TONNE,Tonnes,3,thousands,,,4017.813,,
IRL,Ireland,10-33,Manufacturing industries: Total,2010,2010,TONNE,Tonnes,3,thousands,,,3257.311,,
IRL,Ireland,10-33,Manufacturing industries: Total,2012,2012,TONNE,Tonnes,3,thousands,,,4598.353,,
IRL,Ireland,10-12,Manufacture of food products beverages and tobacco products,2008,2008,TONNE,Tonnes,3,thousands,,,1595.317,,
IRL,Ireland,10-12,Manufacture of food products beverages and tobacco products,2010,2010,TONNE,Tonnes,3,thousands,,,881.734,,
IRL,Ireland,10-12,Manufacture of food products beverages and tobacco products,2012,2012,TONNE,Tonnes,3,thousands,,,2042.735,,
IRL,Ireland,13-15,Manufacture of textiles, wearing apparel, leather and related products,2008,2008,TONNE,Tonnes,3,thousands,,,14.497,,
IRL,Ireland,13-15,Manufacture of textiles, wearing apparel, leather and related products,2010,2010,TONNE,Tonnes,3,thousands,,,28.335,,
IRL,Ireland,13-15,Manufacture of textiles, wearing apparel, leather and related products,2012,2012,TONNE,Tonnes,3,thousands,,,20.578,,
IRL,Ireland,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2010,2010,TONNE,Tonnes,3,thousands,,,287.12,,
IRL,Ireland,16,Manufacture of wood and of products of wood and cork, except furniture manufacture of articles of straw and plaiting materials,2012,2012,TONNE,Tonnes,3,thousands,,,116.226,,
IRL,Ireland,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2008,2008,TONNE,Tonnes,3,thousands,,,409.266,,
IRL,Ireland,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2010,2010,TONNE,Tonnes,3,thousands,,,67.63,,
IRL,Ireland,17-18,Manufacture of paper and paper products printing and reproduction of recorded media,2012,2012,TONNE,Tonnes,3,thousands,,,135.885,,
IRL,Ireland,19,Manufacture of coke and refined petroleum products,2010,2010,TONNE,Tonnes,3,thousands,,,1.889,,
IRL,Ireland,19,Manufacture of coke and refined petroleum products,2012,2012,TONNE,Tonnes,3,thousands,,,1.591,,
IRL,Ireland,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2008,2008,TONNE,Tonnes,3,thousands,,,266.967,,
IRL,Ireland,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2010,2010,TONNE,Tonnes,3,thousands,,,306.192,,
IRL,Ireland,20-22,Manufacture of chemical, pharmaceutical, rubber and plastic products,2012,2012,TONNE,Tonnes,3,thousands,,,421.255,,
IRL,Ireland,23,Manufacture of other non-metallic mineral products,2008,2008,TONNE,Tonnes,3,thousands,,,231.189,,
IRL,Ireland,23,Manufacture of other non-metallic mineral products,2010,2010,TONNE,Tonnes,3,thousands,,,102.624,,
IRL,Ireland,23,Manufacture of other non-metallic mineral products,2012,2012,TONNE,Tonnes,3,thousands,,,176.631,,
IRL,Ireland,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,1500.777,,
IRL,Ireland,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,1581.787,,
IRL,Ireland,24-33,Manufacture of basic metals and fabricated metal products, machinery and equipment furnitures jewellery, musical instrument, toys repair and installation of machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,1683.452,,
IRL,Ireland,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,1337.27,,
IRL,Ireland,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,1383.092,,
IRL,Ireland,24-25,Manufacture of basic metals and fabricated metal products, except machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,1409.51,,
IRL,Ireland,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2010,2010,TONNE,Tonnes,3,thousands,,,87.321,,
IRL,Ireland,26-30,Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment,2012,2012,TONNE,Tonnes,3,thousands,,,185.492,,
IRL,Ireland,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2008,2008,TONNE,Tonnes,3,thousands,,,163.514,,
IRL,Ireland,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2010,2010,TONNE,Tonnes,3,thousands,,,111.374,,
IRL,Ireland,31-33,Manufacture of furniture jewellery, musical instruments, toys repair and installation of machinery and equipment,2012,2012,TONNE,Tonnes,3,thousands,,,88.45,,
IRL,Ireland,35,Energy Production ,2008,2008,TONNE,Tonnes,3,thousands,,,291.726,,
IRL,Ireland,35,Energy Production ,2010,2010,TONNE,Tonnes,3,thousands,,,333.651,,
IRL,Ireland,35,Energy Production ,2012,2012,TONNE,Tonnes,3,thousands,,,395.95,,
IRL,Ireland,36-39,Water supply sewerage waste management ,2008,2008,TONNE,Tonnes,3,thousands,,,172.513,,
IRL,Ireland,36-39,Water supply sewerage waste management ,2010,2010,TONNE,Tonnes,3,thousands,,,2904.775,B,Break
IRL,Ireland,36-39,Water supply sewerage waste management ,2012,2012,TONNE,Tonnes,3,thousands,,,901.44,B,Break
IRL,Ireland,41-43,Construction,2008,2008,TONNE,Tonnes,3,thousands,,,13547.588,,
IRL,Ireland,41-43,Construction,2010,2010,TONNE,Tonnes,3,thousands,,,1609.762,,
IRL,Ireland,41-43,Construction,2012,2012,TONNE,Tonnes,3,thousands,,,365.615,,
IRL,Ireland,45-98,Other,2008,2008,TONNE,Tonnes,3,thousands,,,3154.735,,
IRL,Ireland,45-98,Other,2010,2010,TONNE,Tonnes,3,thousands,,,8904.123,B,Break
IRL,Ireland,45-98,Other,2012,2012,TONNE,Tonnes,3,thousands,,,4548.087,,
IRL,Ireland,INT_CAPITA,Primary waste per capita,2008,2008,KG_HAB,Kilograms per capita,0,units,,,5015.371,,
IRL,Ireland,INT_CAPITA,Primary waste per capita,2010,2010,KG_HAB,Kilograms per capita,0,units,,,4238.887,,
IRL,Ireland,INT_CAPITA,Primary waste per capita,2012,2012,KG_HAB,Kilograms per capita,0,units,,,2820.029,,
IRL,Ireland,INT_GDP,Primary waste per unit of GDP,2008,2008,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,121.789,,
IRL,Ireland,INT_GDP,Primary waste per unit of GDP,2010,2010,KG_1000USD,Kilograms per 1 000 US dollars,0,units,,,110.332,,
