TIME,GEO,INDUSTRY,EMISSION
2004,Latvia,Mining and quarrying,-1
2004,Latvia,Manufacturing,-1
2004,Latvia,Electricity_ gas_ steam and air conditioning supply,-1
2004,Latvia,Water supply_ sewerage_ waste management and remediation activities,-1
2004,Latvia,Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
2004,Latvia,Transportation and storage,-1
2004,Latvia,Accommodation and food service activities,-1
2004,Latvia,Information and communication,-1
2004,Latvia,Financial and insurance activities,-1
2004,Latvia,Real estate activities,-1
2004,Latvia,Professional_ scientific and technical activities,-1
2004,Latvia,Administrative and support service activities,-1
2004,Latvia,Public administration and defence_ compulsory social security,-1
2004,Latvia,Education,-1
2004,Latvia,Human health and social work activities,-1
2004,Latvia,Arts_ entertainment and recreation,-1
2004,Latvia,Other service activities,-1
2004,Latvia,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,Latvia,Activities of extraterritorial organisations and bodies,-1
2004,Lithuania,Total - All NACE activities,-1
2004,Lithuania,Agriculture_ forestry and fishing,-1
2004,Lithuania,Mining and quarrying,-1
2004,Lithuania,Manufacturing,-1
2004,Lithuania,Electricity_ gas_ steam and air conditioning supply,-1
2004,Lithuania,Water supply_ sewerage_ waste management and remediation activities,-1
2004,Lithuania,Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
2004,Lithuania,Transportation and storage,-1
2004,Lithuania,Accommodation and food service activities,-1
2004,Lithuania,Information and communication,-1
2004,Lithuania,Financial and insurance activities,-1
2004,Lithuania,Real estate activities,-1
2004,Lithuania,Professional_ scientific and technical activities,-1
2004,Lithuania,Administrative and support service activities,-1
2004,Lithuania,Public administration and defence_ compulsory social security,-1
2004,Lithuania,Education,-1
2004,Lithuania,Human health and social work activities,-1
2004,Lithuania,Arts_ entertainment and recreation,-1
2004,Lithuania,Other service activities,-1
2004,Lithuania,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,Lithuania,Activities of extraterritorial organisations and bodies,-1
2004,Luxembourg,Total - All NACE activities,-1
2004,Luxembourg,Agriculture_ forestry and fishing,-1
2004,Luxembourg,Mining and quarrying,-1
2004,Luxembourg,Manufacturing,-1
2004,Luxembourg,Electricity_ gas_ steam and air conditioning supply,-1
2004,Luxembourg,Water supply_ sewerage_ waste management and remediation activities,-1
2004,Luxembourg,Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
2004,Luxembourg,Transportation and storage,-1
2004,Luxembourg,Accommodation and food service activities,-1
2004,Luxembourg,Information and communication,-1
2004,Luxembourg,Financial and insurance activities,-1
2004,Luxembourg,Real estate activities,-1
2004,Luxembourg,Professional_ scientific and technical activities,-1
2004,Luxembourg,Administrative and support service activities,-1
2004,Luxembourg,Public administration and defence_ compulsory social security,-1
2004,Luxembourg,Education,-1
2004,Luxembourg,Human health and social work activities,-1
2004,Luxembourg,Arts_ entertainment and recreation,-1
2004,Luxembourg,Other service activities,-1
2004,Luxembourg,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,Luxembourg,Activities of extraterritorial organisations and bodies,-1
2004,Hungary,Total - All NACE activities,44560382
